Tension_Pa_m,Radius_m,Depth_Ratio,B_Parameter,Eigenvalue_X,Frequency_Hz,Mode_Number
6000,0.15,1,0,8.65372791291103,711.226179095654,3
6000,0.15,1,0,11.7915344390139,969.113897401653,4
6000,0.15,1,0,14.930917708488,1227.13120392381,5
6000,0.15,1,0,18.0710639679115,1485.21121849871,6
6000,0.15,1,0,21.2116366299,1743.32627793174,7
6000,0.15,1,0,24.3524715307517,2001.4628900582,8
6000,0.15,1,0,27.4934791320416,2259.61369596034,9
6000,0.15,1,0,30.634606468442,2517.77434256305,10
6000,0.2,0.1,0,2.40482555769519,148.234516095599,1
6000,0.2,0.1,0,5.52007811028645,340.260067874717,2
6000,0.2,0.1,0,8.65372791291103,533.41963432174,3
6000,0.2,0.1,0,11.7915344390139,726.83542305124,4
6000,0.2,0.1,0,14.930917708488,920.348402942856,5
6000,0.2,0.1,0,18.0710639679115,1113.90841387403,6
6000,0.2,0.1,0,21.2116366299,1307.49470844881,7
6000,0.2,0.1,0,24.3524715307517,1501.09716754365,8
6000,0.2,0.1,0,27.4934791320416,1694.71027197026,9
6000,0.2,0.1,0,30.634606468442,1888.33075692228,10
6000,0.2,0.4,0,2.40482555769519,148.234516095599,1
6000,0.2,0.4,0,5.52007811028645,340.260067874717,2
6000,0.2,0.4,0,8.65372791291103,533.41963432174,3
6000,0.2,0.4,0,11.7915344390139,726.83542305124,4
6000,0.2,0.4,0,14.930917708488,920.348402942856,5
6000,0.2,0.4,0,18.0710639679115,1113.90841387403,6
6000,0.2,0.4,0,21.2116366299,1307.49470844881,7
6000,0.2,0.4,0,24.3524715307517,1501.09716754365,8
6000,0.2,0.4,0,27.4934791320416,1694.71027197026,9
6000,0.2,0.4,0,30.634606468442,1888.33075692228,10
6000,0.2,0.75,0,2.40482555769519,148.234516095599,1
6000,0.2,0.75,0,5.52007811028645,340.260067874717,2
6000,0.2,0.75,0,8.65372791291103,533.41963432174,3
6000,0.2,0.75,0,11.7915344390139,726.83542305124,4
6000,0.2,0.75,0,14.930917708488,920.348402942856,5
6000,0.2,0.75,0,18.0710639679115,1113.90841387403,6
6000,0.2,0.75,0,21.2116366299,1307.49470844881,7
6000,0.2,0.75,0,24.3524715307517,1501.09716754365,8
6000,0.2,0.75,0,27.4934791320416,1694.71027197026,9
6000,0.2,0.75,0,30.634606468442,1888.33075692228,10
6000,0.2,1,0,2.40482555769519,148.234516095599,1
6000,0.2,1,0,5.52007811028645,340.260067874717,2
6000,0.2,1,0,8.65372791291103,533.41963432174,3
6000,0.2,1,0,11.7915344390139,726.83542305124,4
6000,0.2,1,0,14.930917708488,920.348402942856,5
6000,0.2,1,0,18.0710639679115,1113.90841387403,6
6000,0.2,1,0,21.2116366299,1307.49470844881,7
6000,0.2,1,0,24.3524715307517,1501.09716754365,8
6000,0.2,1,0,27.4934791320416,1694.71027197026,9
6000,0.2,1,0,30.634606468442,1888.33075692228,10
6500,0.05,0.1,0,2.40482555769519,617.149504207047,1
6500,0.05,0.1,0,5.52007811028645,1416.61562854168,2
6500,0.05,0.1,0,8.65372791291103,2220.80303243045,3
6500,0.05,0.1,0,11.7915344390139,3026.0571747467,4
6500,0.05,0.1,0,14.930917708488,3831.7159561382,5
6500,0.05,0.1,0,18.0710639679115,4637.57054336164,6
6500,0.05,0.1,0,21.2116366299,5443.53455811952,7
6500,0.05,0.1,0,24.3524715307517,6249.56587114108,8
6500,0.05,0.1,0,27.4934791320416,7055.64150421297,9
6500,0.05,0.1,0,30.634606468442,7861.74786486253,10
6500,0.05,0.4,0,2.40482555769519,617.149504207047,1
6500,0.05,0.4,0,5.52007811028645,1416.61562854168,2
6500,0.05,0.4,0,8.65372791291103,2220.80303243045,3
6500,0.05,0.4,0,11.7915344390139,3026.0571747467,4
6500,0.05,0.4,0,14.930917708488,3831.7159561382,5
6500,0.05,0.4,0,18.0710639679115,4637.57054336164,6
6500,0.05,0.4,0,21.2116366299,5443.53455811952,7
6500,0.05,0.4,0,24.3524715307517,6249.56587114108,8
6500,0.05,0.4,0,27.4934791320416,7055.64150421297,9
6500,0.05,0.4,0,30.634606468442,7861.74786486253,10
6500,0.05,0.75,0,2.40482555769519,617.149504207047,1
6500,0.05,0.75,0,5.52007811028645,1416.61562854168,2
6500,0.05,0.75,0,8.65372791291103,2220.80303243045,3
6500,0.05,0.75,0,11.7915344390139,3026.0571747467,4
6500,0.05,0.75,0,14.930917708488,3831.7159561382,5
6500,0.05,0.75,0,18.0710639679115,4637.57054336164,6
6500,0.05,0.75,0,21.2116366299,5443.53455811952,7
6500,0.05,0.75,0,24.3524715307517,6249.56587114108,8
6500,0.05,0.75,0,27.4934791320416,7055.64150421297,9
6500,0.05,0.75,0,30.634606468442,7861.74786486253,10
6500,0.05,1,0,2.40482555769519,617.149504207047,1
6500,0.05,1,0,5.52007811028645,1416.61562854168,2
6500,0.05,1,0,8.65372791291103,2220.80303243045,3
6500,0.05,1,0,11.7915344390139,3026.0571747467,4
6500,0.05,1,0,14.930917708488,3831.7159561382,5
6500,0.05,1,0,18.0710639679115,4637.57054336164,6
6500,0.05,1,0,21.2116366299,5443.53455811952,7
6500,0.05,1,0,24.3524715307517,6249.56587114108,8
6500,0.05,1,0,27.4934791320416,7055.64150421297,9
6500,0.05,1,0,30.634606468442,7861.74786486253,10
6500,0.1,0.1,0,2.40482555769519,308.574752103524,1
6500,0.1,0.1,0,5.52007811028645,708.307814270838,2
6500,0.1,0.1,0,8.65372791291103,1110.40151621522,3
6500,0.1,0.1,0,11.7915344390139,1513.02858737335,4
6500,0.1,0.1,0,14.930917708488,1915.8579780691,5
6500,0.1,0.1,0,18.0710639679115,2318.78527168082,6
6500,0.1,0.1,0,21.2116366299,2721.76727905976,7
6500,0.1,0.1,0,24.3524715307517,3124.78293557054,8
6500,0.1,0.1,0,27.4934791320416,3527.82075210648,9
6500,0.1,0.1,0,30.634606468442,3930.87393243126,10
6500,0.1,0.4,0,2.40482555769519,308.574752103524,1
6500,0.1,0.4,0,5.52007811028645,708.307814270838,2
6500,0.1,0.4,0,8.65372791291103,1110.40151621522,3
6500,0.1,0.4,0,11.7915344390139,1513.02858737335,4
6500,0.1,0.4,0,14.930917708488,1915.8579780691,5
6500,0.1,0.4,0,18.0710639679115,2318.78527168082,6
6500,0.1,0.4,0,21.2116366299,2721.76727905976,7
6500,0.1,0.4,0,24.3524715307517,3124.78293557054,8
6500,0.1,0.4,0,27.4934791320416,3527.82075210648,9
6500,0.1,0.4,0,30.634606468442,3930.87393243126,10
6500,0.1,0.75,0,2.40482555769519,308.574752103524,1
6500,0.1,0.75,0,5.52007811028645,708.307814270838,2
6500,0.1,0.75,0,8.65372791291103,1110.40151621522,3
6500,0.1,0.75,0,11.7915344390139,1513.02858737335,4
6500,0.1,0.75,0,14.930917708488,1915.8579780691,5
6500,0.1,0.75,0,18.0710639679115,2318.78527168082,6
6500,0.1,0.75,0,21.2116366299,2721.76727905976,7
6500,0.1,0.75,0,24.3524715307517,3124.78293557054,8
6500,0.1,0.75,0,27.4934791320416,3527.82075210648,9
6500,0.1,0.75,0,30.634606468442,3930.87393243126,10
6500,0.1,1,0,2.40482555769519,308.574752103524,1
6500,0.1,1,0,5.52007811028645,708.307814270838,2
6500,0.1,1,0,8.65372791291103,1110.40151621522,3
6500,0.1,1,0,11.7915344390139,1513.02858737335,4
6500,0.1,1,0,14.930917708488,1915.8579780691,5
6500,0.1,1,0,18.0710639679115,2318.78527168082,6
6500,0.1,1,0,21.2116366299,2721.76727905976,7
6500,0.1,1,0,24.3524715307517,3124.78293557054,8
6500,0.1,1,0,27.4934791320416,3527.82075210648,9
6500,0.1,1,0,30.634606468442,3930.87393243126,10
6500,0.15,0.1,0,2.40482555769519,205.716501402349,1
6500,0.15,0.1,0,5.52007811028645,472.205209513892,2
6500,0.15,0.1,0,8.65372791291103,740.267677476817,3
6500,0.15,0.1,0,11.7915344390139,1008.68572491557,4
6500,0.15,0.1,0,14.930917708488,1277.23865204607,5
6500,0.15,0.1,0,18.0710639679115,1545.85684778721,6
6500,0.15,0.1,0,21.2116366299,1814.51151937317,7
6500,0.15,0.1,0,24.3524715307517,2083.18862371369,8
6500,0.15,0.1,0,27.4934791320416,2351.88050140432,9
6500,0.15,0.1,0,30.634606468442,2620.58262162084,10
6500,0.15,0.4,0,2.40482555769519,205.716501402349,1
6500,0.15,0.4,0,5.52007811028645,472.205209513892,2
6500,0.15,0.4,0,8.65372791291103,740.267677476817,3
6500,0.15,0.4,0,11.7915344390139,1008.68572491557,4
6500,0.15,0.4,0,14.930917708488,1277.23865204607,5
6500,0.15,0.4,0,18.0710639679115,1545.85684778721,6
6500,0.15,0.4,0,21.2116366299,1814.51151937317,7
6500,0.15,0.4,0,24.3524715307517,2083.18862371369,8
6500,0.15,0.4,0,27.4934791320416,2351.88050140432,9
6500,0.15,0.4,0,30.634606468442,2620.58262162084,10
6500,0.15,0.75,0,2.40482555769519,205.716501402349,1
6500,0.15,0.75,0,5.52007811028645,472.205209513892,2
6500,0.15,0.75,0,8.65372791291103,740.267677476817,3
6500,0.15,0.75,0,11.7915344390139,1008.68572491557,4
6500,0.15,0.75,0,14.930917708488,1277.23865204607,5
6500,0.15,0.75,0,18.0710639679115,1545.85684778721,6
6500,0.15,0.75,0,21.2116366299,1814.51151937317,7
6500,0.15,0.75,0,24.3524715307517,2083.18862371369,8
6500,0.15,0.75,0,27.4934791320416,2351.88050140432,9
6500,0.15,0.75,0,30.634606468442,2620.58262162084,10
6500,0.15,1,0,2.40482555769519,205.716501402349,1
6500,0.15,1,0,5.52007811028645,472.205209513892,2
6500,0.15,1,0,8.65372791291103,740.267677476817,3
6500,0.15,1,0,11.7915344390139,1008.68572491557,4
6500,0.15,1,0,14.930917708488,1277.23865204607,5
6500,0.15,1,0,18.0710639679115,1545.85684778721,6
6500,0.15,1,0,21.2116366299,1814.51151937317,7
6500,0.15,1,0,24.3524715307517,2083.18862371369,8
6500,0.15,1,0,27.4934791320416,2351.88050140432,9
6500,0.15,1,0,30.634606468442,2620.58262162084,10
6500,0.2,0.1,0,2.40482555769519,154.287376051762,1
6500,0.2,0.1,0,5.52007811028645,354.153907135419,2
6500,0.2,0.1,0,8.65372791291103,555.200758107612,3
6500,0.2,0.1,0,11.7915344390139,756.514293686674,4
6500,0.2,0.1,0,14.930917708488,957.928989034549,5
6500,0.2,0.1,0,18.0710639679115,1159.39263584041,6
6500,0.2,0.1,0,21.2116366299,1360.88363952988,7
6500,0.2,0.1,0,24.3524715307517,1562.39146778527,8
