Tension_Pa_m,Radius_m,Depth_Ratio,B_Parameter,Eigenvalue_X,Frequency_Hz,Mode_Number
500,0.2,1,84,21.2331902205564,377.824736906098,7
500,0.2,1,84,24.3659941887838,433.570049917423,8
500,0.2,1,84,27.5025621592223,489.382339823426,9
500,0.2,1,84,30.6410193547434,545.228246720678,10
1000,0.05,0.1,105,5.01505813518487,504.807849204105,1
1000,0.05,0.1,105,8.05828742761777,811.134514286992,2
1000,0.05,0.1,105,10.2101350933859,1027.73610946097,3
1000,0.05,0.1,105,12.167252288755,1224.73644233911,4
1000,0.05,0.1,105,15.0450032566411,1514.40632003238,5
1000,0.05,0.1,105,18.1228045856518,1824.21295183888,6
1000,0.05,0.1,105,21.2401726490841,2138.00230878336,7
1000,0.05,0.1,105,24.3700888197762,2453.0547384314,8
1000,0.05,0.1,105,27.5051944468629,2768.62953058264,9
1000,0.05,0.1,105,30.6428225652621,3084.45823273448,10
1000,0.05,0.4,26.25,4.39172847162585,442.064467507544,1
1000,0.05,0.4,26.25,6.13544810012702,617.58453757473,2
1000,0.05,0.4,26.25,8.77053262281771,882.827993286231,3
1000,0.05,0.4,26.25,11.8304767719083,1190.83714950116,4
1000,0.05,0.4,26.25,14.9487133306358,1504.71392781348,5
1000,0.05,0.4,26.25,18.0807185847996,1819.97664131184,6
1000,0.05,0.4,26.25,21.2174725007372,2135.71734762145,7
1000,0.05,0.4,26.25,24.3562729542296,2451.6640551764,8
1000,0.05,0.4,26.25,27.4960953356564,2767.7136283869,9
1000,0.05,0.4,26.25,30.6364846943757,3083.82027263821,10
1000,0.05,0.75,14,3.78642929511742,381.136006225216,1
1000,0.05,0.75,14,5.76268508050686,580.062799416385,2
1000,0.05,0.75,14,8.70558103430755,876.290068736928,3
1000,0.05,0.75,14,11.8104099895036,1188.81725880536,4
1000,0.05,0.75,14,14.9398735825498,1503.82413270074,5
1000,0.05,0.75,14,18.0760162519382,1819.50331189591,6
1000,0.05,0.75,14,21.2146631349869,2135.43456129199,7
